City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Karratha,AU,78.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
17,Bela,IN,85.28,light rain,25.9333,81.9833,Raj Bhawan
18,Victoria,HK,78.24,broken clouds,22.2855,114.1577,Mini Hotel Central
22,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
28,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
30,Namatanai,PG,84.52,light rain,-3.6667,152.4333,Seagulls Inn Namatani
38,Faanui,PF,81.46,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Lorengau,PG,84.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
48,Pasni,PK,80.19,clear sky,25.2631,63.471,Kashmiri Hotal
56,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Kandrian,PG,85.01,light rain,-6.2167,149.55,Kandrian Station
69,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Marshall,US,78.33,clear sky,34.3834,-86.3333,Riverview Campground
76,Sunland Park,US,86.45,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
80,Sumenep,ID,84.07,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
85,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
86,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
90,Gewane,ET,80.4,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
98,Bambanglipuro,ID,80.37,overcast clouds,-7.95,110.2833,Puri Brata
102,Atuona,PF,79.27,few clouds,-9.8,-139.0333,Villa Enata
107,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
110,Butaritari,KI,81.43,few clouds,3.0707,172.7902,Isles Sunset Lodge
125,Yamethin,MM,78.64,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
129,Labuhan,ID,81.12,overcast clouds,-6.8844,112.2051,DoubleFAG
131,Hithadhoo,MV,83.26,moderate rain,-0.6,73.0833,Scoop Guest House
134,Bandarbeyla,SO,81.36,broken clouds,9.4942,50.8122,JABIR HOTEL
140,Valle De Allende,MX,81.95,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
143,Banda Aceh,ID,81.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
