City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,39.72,81,100,11.5,light rain
1,Chokurdakh,RU,70.6333,147.9167,21.52,83,100,4.27,overcast clouds
2,Neka,IR,36.6508,53.299,58.14,85,3,2.84,clear sky
3,Busselton,AU,-33.65,115.3333,56.48,53,0,16.26,clear sky
4,Upernavik,GL,72.7868,-56.1549,3.9,95,7,6.46,clear sky
5,Joao Pinheiro,BR,-17.7425,-46.1725,72.19,66,98,4.65,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,38.86,75,0,5.75,clear sky
7,Broome,US,42.2506,-75.833,55.85,92,100,8.05,overcast clouds
8,Nikolskoye,RU,59.7035,30.7861,37.29,70,87,6.29,overcast clouds
9,Demirci,TR,39.0461,28.6589,41.27,79,49,5.37,scattered clouds
10,Maltahohe,NA,-24.8333,16.9833,57.51,40,0,6.58,clear sky
11,Karratha,AU,-20.7377,116.8463,78.21,36,0,26.02,clear sky
12,East London,ZA,-33.0153,27.9116,64.69,81,7,4.29,clear sky
13,Myitkyina,MM,25.3833,97.4,67.28,92,100,1.05,overcast clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,13.8,overcast clouds
15,Bluff,NZ,-46.6,168.3333,58.8,70,66,5.19,broken clouds
16,Skjervoy,NO,70.0311,20.9714,26.6,69,88,11.72,overcast clouds
17,Bela,IN,25.9333,81.9833,85.28,52,61,11.21,light rain
18,Victoria,HK,22.2855,114.1577,78.24,76,74,11.01,broken clouds
19,San Vicente,AR,-26.6167,-54.1333,57.02,99,99,2.51,overcast clouds
20,Pangnirtung,CA,66.1451,-65.7125,10.98,96,98,2.01,overcast clouds
21,Hobart,AU,-42.8794,147.3294,55.26,81,20,10.36,few clouds
22,Olinda,BR,-8.0089,-34.8553,82.13,78,40,12.66,scattered clouds
23,Port Alfred,ZA,-33.5906,26.891,64.51,84,100,4.05,overcast clouds
24,Panjab,AF,34.388,67.0233,47.17,67,36,3.11,scattered clouds
25,Verkhnyaya Inta,RU,65.9811,60.3094,21.63,70,99,15.66,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,58.44,92,100,3.69,overcast clouds
27,Alpena,US,45.0617,-83.4327,55.72,33,0,3.44,clear sky
28,Katherine,AU,-14.4667,132.2667,86.32,54,3,11.5,clear sky
29,Port Said,EG,31.2565,32.2841,66.25,67,0,20.6,clear sky
30,Namatanai,PG,-3.6667,152.4333,84.52,71,86,9.37,light rain
31,Esperance,AU,-33.8667,121.9,55.24,65,91,11.23,overcast clouds
32,Angoche,MZ,-16.2325,39.9086,70.65,93,30,7.78,scattered clouds
33,Huangcun,CN,30.0145,118.4037,71.08,51,0,2.26,clear sky
34,Hasaki,JP,35.7333,140.8333,70.29,72,100,14.03,overcast clouds
35,Japura,ID,-0.3167,102.35,75.96,93,100,1.77,overcast clouds
36,Albany,US,42.6001,-73.9662,55.51,86,100,5.12,overcast clouds
37,Chiang Khong,TH,20.2613,100.4046,75.4,82,89,2.26,overcast clouds
38,Faanui,PF,-16.4833,-151.75,81.46,76,25,11.61,scattered clouds
39,Dikson,RU,73.5069,80.5464,23.65,94,100,19.37,snow
40,Adre,TD,13.4667,22.2,85.75,30,96,4.54,overcast clouds
41,Pevek,RU,69.7008,170.3133,21.79,83,100,7.67,overcast clouds
42,Lorengau,PG,-2.0226,147.2712,84.29,78,96,6.8,overcast clouds
43,Rawson,AR,-43.3002,-65.1023,65.08,48,73,12.48,broken clouds
44,Sapele,NG,5.8941,5.6767,75.87,88,100,0.85,overcast clouds
45,Nouadhibou,MR,20.931,-17.0347,64.38,77,0,19.57,clear sky
46,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,28,0,3.44,clear sky
47,Nisia Floresta,BR,-6.0911,-35.2086,79.18,94,99,7.14,overcast clouds
48,Pasni,PK,25.2631,63.471,80.19,73,0,8.59,clear sky
49,Fort Nelson,CA,58.8053,-122.7002,56.79,24,40,9.22,scattered clouds
50,Mount Isa,AU,-20.7333,139.5,71.37,40,9,21.85,clear sky
51,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,5.75,few clouds
52,Altamira,BR,-3.2033,-52.2064,73.04,98,100,0.56,overcast clouds
53,Rikitea,PF,-23.1203,-134.9692,77.63,84,92,20.47,light rain
54,Slave Lake,CA,55.2834,-114.769,49.98,66,40,3.44,scattered clouds
55,Juegang,CN,32.3174,121.1855,68.99,65,0,12.24,clear sky
56,Kapaa,US,22.0752,-159.319,82.38,81,40,16.11,moderate rain
57,Windhoek,NA,-22.5594,17.0832,58.1,44,0,8.05,clear sky
