City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-04-29 00:15:43,42.6001,-73.9662,46.81,28,13,1.99
1,Khatanga,RU,2022-04-29 00:15:44,71.9667,102.5,14.94,94,95,5.82
2,Nouadhibou,MR,2022-04-29 00:15:44,20.931,-17.0347,64.38,82,2,14.97
3,Talnakh,RU,2022-04-29 00:15:45,69.4865,88.3972,16.21,86,100,2.1
4,Mataura,NZ,2022-04-29 00:15:45,-46.1927,168.8643,57.47,69,12,1.41
5,Avarua,CK,2022-04-29 00:15:46,-21.2078,-159.775,82.45,78,40,10.36
6,Airai,TL,2022-04-29 00:15:46,-8.9266,125.4092,66.58,64,87,2.62
7,Busselton,AU,2022-04-29 00:15:46,-33.65,115.3333,56.48,74,28,4.94
8,Alofi,NU,2022-04-29 00:15:47,-19.0595,-169.9187,80.49,83,75,19.57
9,Salalah,OM,2022-04-29 00:15:47,17.0151,54.0924,84.29,79,20,3.44
10,Chimoio,MZ,2022-04-29 00:15:48,-19.1164,33.4833,61.34,80,87,2.84
11,Hermanus,ZA,2022-04-29 00:15:49,-34.4187,19.2345,59.41,91,99,4.52
12,Vanimo,PG,2022-04-29 00:15:49,-2.6741,141.3028,85.32,66,100,1.07
13,Ekibastuz,KZ,2022-04-29 00:15:49,51.6667,75.3667,59.88,42,99,9.69
14,Qaanaaq,GL,2022-04-29 00:15:50,77.484,-69.3632,22.84,94,98,8.08
15,Sitka,US,2022-04-29 00:13:53,57.0531,-135.33,51.69,58,40,6.91
16,Chokurdakh,RU,2022-04-29 00:15:50,70.6333,147.9167,5.07,92,86,3.94
17,Georgetown,MY,2022-04-29 00:12:46,5.4112,100.3354,78.73,94,20,0.0
18,Vaini,TO,2022-04-29 00:15:51,-21.2,-175.2,80.76,65,75,11.5
19,Rutland,US,2022-04-29 00:15:51,43.6167,-73.0162,44.26,38,0,14.0
20,Jalu,LY,2022-04-29 00:15:52,29.0331,21.5482,80.85,10,50,2.64
21,Takoradi,GH,2022-04-29 00:14:55,4.8845,-1.7554,78.03,85,100,7.2
22,Gouyave,GD,2022-04-29 00:15:52,12.1646,-61.7296,79.57,89,75,12.66
23,Arraial Do Cabo,BR,2022-04-29 00:15:53,-22.9661,-42.0278,76.3,85,7,20.22
24,Saint-Philippe,RE,2022-04-29 00:15:53,-21.3585,55.7679,74.79,81,45,11.3
25,Rikitea,PF,2022-04-29 00:15:54,-23.1203,-134.9692,77.38,64,21,18.39
26,Ushuaia,AR,2022-04-29 00:12:37,-54.8,-68.3,42.46,75,40,26.46
27,Pakokku,MM,2022-04-29 00:15:54,21.3333,95.1,89.83,48,40,7.78
28,Bredasdorp,ZA,2022-04-29 00:15:55,-34.5322,20.0403,56.89,94,79,5.59
29,Mangrol,IN,2022-04-29 00:15:56,21.1167,70.1167,81.57,76,0,10.83
30,Butaritari,KI,2022-04-29 00:15:56,3.0707,172.7902,81.97,79,99,16.17
31,Mount Isa,AU,2022-04-29 00:15:56,-20.7333,139.5,85.77,51,13,12.66
32,Sabang,ID,2022-04-29 00:15:57,5.8933,95.3214,83.5,73,91,9.33
33,Shingu,JP,2022-04-29 00:15:58,33.7333,135.9833,62.96,96,100,10.51
34,Kaitangata,NZ,2022-04-29 00:15:58,-46.2817,169.8464,54.3,70,6,1.19
35,Saint-Francois,FR,2022-04-29 00:15:58,46.4154,3.9054,46.67,100,0,3.44
36,Cape Town,ZA,2022-04-29 00:15:04,-33.9258,18.4232,61.27,87,75,8.05
